,Strike,Last Price,Volume,Symbol,Volume_Ratio,Type,Margin,Option_Expiration_Date,Current Price,Percentage,Prob
0,500.0,8.5,76558,AAPL,17.021821357392366,call,0.018425821013330308,"August 28, 2020",499.29998779296875,-0.008203746711620795,0.8470977293006596
1,475.0,1.3,16136,AAPL,11.557325786559055,put,0.046064466964308305,"August 28, 2020",499.29998779296875,-0.008203746711620795,0.027306324690383264
2,490.0,4.46,21633,AAPL,15.494523347832923,put,0.009693546788099697,"August 28, 2020",499.29998779296875,-0.008203746711620795,0.12559594600895715
3,104.0,0.31,463,ABT,10.088928150765605,call,0.01795646293917602,"August 28, 2020",102.47000122070312,0.010651950100632452,0.6682652016016389
4,100.0,0.25,285,ABT,15.317589576547231,put,0.021664889179825578,"August 28, 2020",102.47000122070312,0.010651950100632452,0.3317347983983611
5,3300.0,68.5,6341,AMZN,14.898567992517036,call,0.006577043358818924,"August 28, 2020",3346.489990234375,0.011800593275315487,0.34704150965080105
6,3350.0,40.8,7468,AMZN,17.546523540154112,call,0.013240741760749113,"August 28, 2020",3346.489990234375,0.011800593275315487,0.24344315711133782
7,3400.0,23.5,12937,AMZN,30.396274108057547,call,0.02301217394653899,"August 28, 2020",3346.489990234375,0.011800593275315487,0.24290392899708815
8,3450.0,13.52,4380,AMZN,10.29107834840319,call,0.03497097260327638,"August 28, 2020",3346.489990234375,0.011800593275315487,0.04731337202310367
9,3500.0,8.4,9783,AMZN,22.985757872700546,call,0.04838203916285599,"August 28, 2020",3346.489990234375,0.011800593275315487,0.06565751458041182
10,3200.0,5.23,2664,AMZN,17.107384944702105,put,0.04221138884221844,"August 28, 2020",3346.489990234375,0.011800593275315487,0.011131892624046517
11,3300.0,22.43,2372,AMZN,15.232251159471994,put,0.007189619662567684,"August 28, 2020",3346.489990234375,0.011800593275315487,0.04250862501321105
12,6.0,0.04,2189,AMC,6.231732776617954,call,0.09025271508841887,"August 28, 2020",5.539999961853027,0.024029567810171387,0.6363372093023256
13,5.0,0.06,834,AMC,6.511711711711713,put,0.08664259298884115,"August 28, 2020",5.539999961853027,0.024029567810171387,0.36366279069767443
14,85.0,2.42,37588,AMD,16.49535060252396,call,0.012391448115654399,"August 28, 2020",86.3499984741211,0.03935963497979171,0.9140391074622193
15,82.0,0.34,7243,AMD,10.153145260206763,put,0.04643889455681788,"August 28, 2020",86.3499984741211,0.03935963497979171,0.02474557761553286
16,83.0,0.5,12184,AMD,17.079376204660942,put,0.03300519426152893,"August 28, 2020",86.3499984741211,0.03935963497979171,0.06121531492224792
17,83.0,1.38,2235,ATVI,26.30701324178519,call,0.009088701607929918,"August 28, 2020",83.62000274658203,0.006257554110493826,0.998872976701708
18,55.0,0.01,348,ATVI,7.971563981042654,put,0.3421430495917015,"August 28, 2020",83.62000274658203,0.006257554110493826,0.0011270232982919768
19,340.0,1.59,394,AVGO,9.397526501766786,call,0.016213438192601116,"August 28, 2020",336.1400146484375,0.00640722948633982,0.988637439636398
20,180.0,0.12,60,AVGO,4.111675126903553,put,0.46415186484601034,"August 28, 2020",336.1400146484375,0.00640722948633982,0.011362560363601929
21,175.0,3.16,20726,BA,10.342840226676817,call,0.019630311659879093,"August 28, 2020",174.72999572753906,-0.019857543459140335,0.5345109837111411
22,180.0,1.52,30896,BA,15.417948067326398,call,0.03885998076168201,"August 28, 2020",174.72999572753906,-0.019857543459140335,0.38326565385622036
23,170.0,1.27,7933,BA,11.709376699381101,put,0.019801956230424925,"August 28, 2020",174.72999572753906,-0.019857543459140335,0.08222336243263846
24,55.0,1.13,8443,BILI,4.5999757854591685,call,0.19425531914893623,"September 18, 2020",47.0,0.019080659150043422,0.9492699331870712
25,40.0,0.74,689,BILI,3.649793996468511,put,0.13319148936170214,"September 18, 2020",47.0,0.019080659150043422,0.050730066812928784
26,22.0,0.14,1766,BP,10.8610086100861,call,0.02405176413420714,"August 28, 2020",21.6200008392334,-0.01323592700897315,0.8234197029241324
27,21.5,0.22,241,BP,4.579000000000001,put,-0.0046253079040189035,"August 28, 2020",21.6200008392334,-0.01323592700897315,0.17658029707586756
28,35.0,1.75,1372,CAR,13.429037520391516,call,0.08439069524519195,"September 18, 2020",33.88999938964844,-0.0017673228380431615,0.865505929851123
29,27.0,0.35,1066,CAR,5.592538618478578,put,0.19297726489915648,"September 18, 2020",33.88999938964844,-0.0017673228380431615,0.1344940701488771
30,16.0,0.41,8560,CCL,8.155368266764384,call,0.03272496195355709,"August 28, 2020",15.890000343322754,-0.015489445890783559,0.8899166780771552
31,15.0,0.14,3101,CCL,6.071820175438596,put,0.047199517125115525,"August 28, 2020",15.890000343322754,-0.015489445890783559,0.11008332192284483
32,350.0,0.67,1103,COST,13.372152828802351,call,0.01728992107180794,"August 28, 2020",344.7099914550781,0.0016853847530820607,0.9292333614153327
33,315.0,0.06,938,COST,11.431279620853081,put,0.08601430823029117,"August 28, 2020",344.7099914550781,0.0016853847530820607,0.07076663858466724
34,42.5,0.14,2902,CSCO,11.367139529959772,call,0.016205932563496634,"August 28, 2020",41.959999084472656,-0.005215763763094914,0.4850756960695354
35,42.0,0.36,1198,CSCO,10.547571712581654,put,-0.009532910492254146,"August 28, 2020",41.959999084472656,-0.005215763763094914,0.5149243039304647
36,62.5,2.33,1009,DELL,4.314424173318129,call,0.06909631682923162,"September 18, 2020",60.63999938964844,-0.01494477924547701,0.5063177458989031
37,60.0,2.7,849,DELL,8.450995405819295,put,-0.033970986660386004,"September 18, 2020",60.63999938964844,-0.01494477924547701,0.49368225410109684
38,130.0,1.09,4764,DIS,14.691108446119582,call,0.010016232229870128,"August 28, 2020",129.7899932861328,-0.006886576737831397,0.6344968145394829
39,131.0,0.69,3570,DIS,11.009080006852836,call,0.014639084768873227,"August 28, 2020",129.7899932861328,-0.006886576737831397,0.30098752941693974
40,128.0,0.5,1056,DIS,9.311561071195298,put,0.009939081230160135,"August 28, 2020",129.7899932861328,-0.006886576737831397,0.0645156560435774
41,210.0,1.98,709,DOCU,10.695282501371365,call,0.033595025526052084,"August 28, 2020",205.08999633789062,0.0029341108997536108,0.7485243541550028
42,195.0,0.79,597,DOCU,11.23764705882353,put,0.045345928635976286,"August 28, 2020",205.08999633789062,0.0029341108997536108,0.2514756458449972
43,75.0,1.95,36,ENS,8.210526315789473,call,0.04950900600497454,"September 18, 2020",73.31999969482422,0.003696094384999611,0.5
